year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/15,B6,Washington,New York,-13,5,NO,NO,46,228
2017,2017/1/10,B6,Boston,New York,-3,6,NO,NO,49,187
2017,2017/1/6,B6,Boston,New York,-9,11,NO,NO,49,184
2017,2017/1/31,B6,Boston,New York,,,YES,NO,,184
2017,2017/1/29,B6,New York,Boston,-7,6,NO,NO,53,184
2017,2017/1/22,B6,New York,Washington,-1,5,NO,NO,50,228
2017,2017/1/16,B6,Washington,New York,-5,5,NO,NO,44,228
2017,2017/1/10,B6,Boston,New York,96,7,NO,NO,46,187
2017,2017/1/4,B6,New York,Boston,0,5,NO,NO,41,187
2017,2017/1/29,B6,New York,Boston,-5,5,NO,NO,39,187
2017,2017/1/23,B6,New York,Los Angeles,-5,9,NO,NO,347,2475
2017,2017/1/19,B6,Boston,New York,-5,6,NO,NO,42,184
2017,2017/1/17,B6,New York,Boston,-13,12,NO,NO,32,184
2017,2017/1/20,B6,Rochester,New York,-3,4,NO,NO,55,264
2017,2017/1/15,B6,New York,Rochester,10,5,NO,NO,57,264
2017,2017/1/23,B6,New York,Washington,76,6,NO,NO,53,228
2017,2017/1/17,B6,New York,San Francisco,6,7,NO,NO,318,2586
2017,2017/1/11,B6,New York,Boston,-1,4,NO,NO,41,187
2017,2017/1/13,B6,Boston,New York,-5,12,NO,NO,53,184
2017,2017/1/13,B6,New York,Boston,-13,5,NO,NO,34,184
2017,2017/1/6,B6,New York,Washington,-4,6,NO,NO,54,228
2017,2017/1/1,B6,New York,San Francisco,1,6,NO,NO,390,2586
2017,2017/1/4,B6,San Francisco,New York,10,9,NO,NO,273,2586
2017,2017/1/29,B6,San Francisco,New York,72,6,NO,NO,298,2586
2017,2017/1/20,B6,Washington,New York,-4,9,NO,NO,55,228
2017,2017/1/14,B6,New York,Boston,5,5,NO,NO,32,187
2017,2017/1/8,DL,New York,Atlanta,-4,7,NO,NO,110,762
2017,2017/1/8,DL,San Francisco,New York,274,10,NO,NO,261,2586
2017,2017/1/8,DL,Atlanta,Rochester,0,8,NO,NO,124,749
2017,2017/1/8,DL,New York,Boston,-1,5,NO,NO,41,184
2017,2017/1/9,DL,New York,Atlanta,-3,26,NO,NO,111,762
2017,2017/1/9,DL,Boston,New York,-2,31,NO,NO,40,184
2017,2017/1/10,DL,New York,Los Angeles,20,9,NO,NO,352,2475
2017,2017/1/10,DL,Atlanta,New York,0,8,NO,NO,98,762
2017,2017/1/10,DL,Rochester,Atlanta,-1,6,NO,NO,116,749
2017,2017/1/10,DL,Boston,New York,-2,5,NO,NO,49,184
2017,2017/1/11,DL,San Francisco,New York,19,7,NO,NO,261,2586
2017,2017/1/11,DL,New York,San Francisco,-5,9,NO,NO,393,2586
2017,2017/1/5,EV,Chicago,Rochester,4,5,NO,NO,75,528
2017,2017/1/30,EV,Chicago,Rochester,-11,6,NO,NO,80,528
2017,2017/1/17,OO,New York,Chicago,-4,12,NO,NO,117,733
2017,2017/1/31,UA,New York,Chicago,32,9,NO,NO,121,733
2017,2017/1/30,UA,New York,Chicago,-5,5,NO,NO,107,733
2017,2017/1/30,UA,Houston,New York,-7,4,NO,NO,170,1416
2017,2017/1/29,UA,Chicago,New York,6,6,NO,NO,98,733
2017,2017/1/27,UA,New York,Houston,-1,11,NO,NO,220,1416
2017,2017/1/12,UA,New York,Chicago,162,6,NO,NO,140,733
2017,2017/1/12,UA,Chicago,New York,-2,5,NO,NO,98,733
2017,2017/1/15,WN,New York,Chicago,-3,24,NO,NO,117,725
2017,2017/1/15,WN,Chicago,New York,10,7,NO,NO,89,725
2017,2017/1/19,WN,Atlanta,New York,69,8,NO,NO,103,762
2017,2017/1/19,WN,Houston,New York,5,7,NO,NO,164,1428
2017,2017/1/19,WN,New York,Dallas,24,15,NO,NO,191,1381
2017,2017/1/24,WN,New York,Atlanta,7,7,NO,NO,107,762
2017,2017/1/24,WN,Chicago,New York,9,5,NO,NO,103,725
2017,2017/1/25,WN,Dallas,New York,0,4,NO,NO,148,1381
2017,2017/1/25,WN,New York,Chicago,0,6,NO,NO,119,725
2017,2017/1/25,WN,Chicago,New York,-4,14,NO,NO,89,725
2017,2017/1/30,WN,Dallas,New York,29,6,NO,NO,160,1381
2017,2017/1/30,WN,New York,Chicago,30,5,NO,NO,115,725
2017,2017/1/30,WN,Chicago,New York,13,10,NO,NO,91,725
